# List of idols. Type=||
5pb (Choujigen Game Neptune)|Hyperdimension Neptunia
Kishida Mimori||AKB0048
Kitaouji Sakura||Aikatsu!
Kitaouji Sakura||Aikatsu!
Kobayakawa Sae||Idolmaster Cinderella Girls
Kogami Akira||Lucky Star
Kohinata Miho||Idolmaster Cinderella Girls
Koizumi Hanayo||Love Live!
Kojima Haruna||AKB0048
Kondou Mai||Wake Up Girls!
Koshimizu Sachiko||Idolmaster
Koshimizu Sachiko||Idolmaster Cinderella Girls
Koume Shirasaka||Idolmaster
Kousaka Honoka||Love Live!
Maeda Atsuko||AKB0048
Maekawa Miku||Idolmaster
Maekawa Miku||Idolmaster Cinderella Girls
Maizono Sayaka||Danganronpa
Maria Cadenzavuna Eve||Senki Zesshou Symphogear G
Maya Mari||Samurai Flamenco
Mimura Kanako||Idolmaster
Mimura Kanako||Idolmaster Cinderella Girls
Minami Kotori||Love Live!
Minase Iori||Idolmaster
Minowa Hikari||Aikatsu!
Misawa Mizuki||Samurai Flamenco
Miss Monochrome (Character)||Miss Monochrome
Miura Azusa||Idolmaster
Miyazawa Elena||Sekai De Ichiban Tsuyoku Naritai!
Mizuki Kawashima||Idolmaster
Mizumoto Yukari||Idolmaster Cinderella Girls
Moa (Show By Rock!!)||Show By Rock!!
Morikawa Yuki||White Album
Morita Moe||Samurai Flamenco
Moroboshi Kirari||Idolmaster
Moroboshi Kirari||Idolmaster Cinderella Girls
Motomiya Nagisa||AKB0048
Nagi||Kannagi
Naka (Kantai Collection)||Kantai Collection
Nakagawa Kanon||Kami Nomi Zo Shiru Sekai
Nakano Yuka||Idolmaster Cinderella Girls
Nanase Yoshino||Wake Up Girls!
Ninomiya Asuka||Idolmaster
Nishikino Maki||Love Live!
Nitta Minami||Idolmaster
Nitta Minami||Idolmaster Cinderella Girls
Nitta Minami||Idolmaster Cinderella Girls
Ogata Chieri||Idolmaster
Ogata Chieri||Idolmaster
Ogata Chieri||Idolmaster Cinderella Girls
Ogata Rina||White Album
Oikawa Shizuku||Idolmaster Cinderella Girls
Okamoto Miyu||Wake Up Girls!
Ootsuki Yui||Idolmaster Cinderella Girls
Oozora Akari||Aikatsu!
Oshima Yuko||AKB0048
Otoshiro Seira||Aikatsu!
Otsu-chan||Gintama
Retoree (Show By Rock!!)||Show By Rock!!
Rosia (Show By Rock!!)||Show By Rock!!
Rouge||Basquash!
Rukino Saki||Kakumeiki Valvrave
Sae Kobayakawa||Idolmaster
Sakuma Mayu||Idolmaster
Sakuma Mayu||Idolmaster Cinderella Girls
Saraswati||Kore Wa Zombie Desu Ka?
Sasaki Chie||Idolmaster Cinderella Girls
Shibuki Ran||Aikatsu!
Shibuki Ran||Aikatsu!
Shibuya Rin||Idolmaster
Shibuya Rin||Idolmaster Cinderella Girls
Shiina Noriko||Idolmaster Cinderella Girls
Shijou Takane||Idolmaster
Shimada Mayu||Wake Up Girls!
Shimamura Uzuki||Idolmaster
Shimamura Uzuki||Idolmaster Cinderella Girls
Shinonome Kanata||AKB0048
Shinonome Sonata||AKB0048
Shiny Chariot||Little Witch Academia
Shirasaka Koume||Idolmaster Cinderella Girls
Sono Chieri||AKB0048
Sonoda Umi||Love Live!
Sonokoe Utae||R-15
Summer Ai||Captain Earth
Tachiishi Aki||Aikatsu!
Tada Riina||Idolmaster
Tada Riina||Idolmaster
Tada Riina||Idolmaster Cinderella Girls
Takagaki Kaede||Idolmaster
Takagaki Kaede||Idolmaster
Takagaki Kaede||Idolmaster Cinderella Girls
Takahashi Minami||AKB0048
Takamori Aiko||Idolmaster Cinderella Girls
Takatsuki Yayoi||Idolmaster
Takayama Sayoko||Idolmaster
Tokugawa Ieyasu||Sengoku Collection
Totoki Airi||Idolmaster
Totoki Airi||Idolmaster Cinderella Girls
Toudou Yurika||Aikatsu!
Toudou Yurika||Aikatsu!
Toujou Nozomi||Love Live!
Tsukino (Show By Rock!!)||Show By Rock!!
Usami Nanako||Locodol
Utada Hikari||Penguindrum
Violette||Basquash!
Watanabe Mayu||AKB0048
Yamato Aki||Idolmaster Cinderella Girls
Yammy||Sabagebu!
Yazawa Nico||Love Live!
Yokomizo Makoto||AKB0048
Yuuka Ichijou||AKB0048
Zange||Kannagi
